Rank,Player,Position,Age,Date,League,Team,Opp,Result,Game,Week,Day,Targets,Recs,Rec_Yards,Yards_per_Rec,Rec_TD,Catch_Percentage,Yard_per_Target
66,Cole Beasley,WR,30.205,2019-11-17,NFL,BUF,MIA,W 37-20,10,11,Sun,4,4,38,9.5,0,100.0,9.5
67,Amari Cooper,WR,25.153,2019-11-17,NFL,DAL,DET,W 35-27,10,11,Sun,8,3,38,12.67,0,37.5,4.75
68,Blake Jarwin,TE,25.124,2019-11-17,NFL,DAL,DET,W 35-27,10,11,Sun,2,2,38,19.0,0,100.0,19.0
69,Marcus Johnson,WR,25.104,2019-11-17,NFL,IND,JAX,W 33-13,10,11,Sun,4,4,38,9.5,1,100.0,9.5
70,Larry Fitzgerald,WR,36.078,2019-11-17,NFL,ARI,SFO,L 26-36,11,11,Sun,5,5,37,7.4,1,100.0,7.4
71,Mark Ingram,RB,29.331,2019-11-17,NFL,BAL,HOU,W 41-7,10,11,Sun,4,3,37,12.33,2,75.0,9.25
72,Dallas Goedert,TE,24.318,2019-11-17,NFL,PHI,NWE,L 10-17,10,11,Sun,6,3,36,12.0,1,50.0,6.0
73,Todd Gurley,RB,25.106,2019-11-17,NFL,LAR,CHI,W 17-7,10,11,Sun,3,3,36,12.0,0,100.0,12.0
74,Tarik Cohen,RB,24.114,2019-11-17,NFL,CHI,LAR,L 7-17,10,11,Sun,6,5,35,7.0,1,83.3,5.83
75,Pharoh Cooper,WR,24.255,2019-11-17,NFL,ARI,SFO,L 26-36,11,11,Sun,4,3,35,11.67,1,75.0,8.75
76,Olabisi Johnson,WR,22.245,2019-11-17,NFL,MIN,DEN,W 27-23,11,11,Sun,9,6,35,5.83,0,66.7,3.89
77,Rex Burkhead,RB,29.138,2019-11-17,NFL,NWE,PHI,W 17-10,10,11,Sun,3,2,34,17.0,0,66.7,11.33
78,Leonard Fournette,RB,24.303,2019-11-17,NFL,JAX,IND,L 13-33,10,11,Sun,7,7,34,4.86,0,100.0,4.86
79,Kenny Golladay,WR,26.014,2019-11-17,NFL,DET,DAL,L 27-35,10,11,Sun,5,1,34,34.0,0,20.0,6.8
